video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
ZvSYq5ylfTU,18.10.06,トクサンvs守備猿！軟式JAPANでまさかのサード争いに…超ノック祭り！,トクサンTV【A&R】,26,2018-06-10T09:31:30.000Z,116397,755,35,344
ZVs664hOxBA,18.10.05,山口達也に発覚した”本当の病名”に涙が止まらない…TOKIOメンバーのサポートが必要と言われる理由にもつじつまが…,芸能スキャンダレックス,22,2018-05-09T12:20:09.000Z,163772,0,0,135
ZVs664hOxBA,18.11.05,山口達也に発覚した”本当の病名”に涙が止まらない…TOKIOメンバーのサポートが必要と言われる理由にもつじつまが…,芸能スキャンダレックス,22,2018-05-09T12:20:09.000Z,480262,0,0,636
zVS0ECAqJoU,18.23.05,【高橋洋一】 飯田浩司のOK! Cozy up! 2018年5月23日,木下康司,25,2018-05-22T23:38:57.000Z,16663,138,11,7
zVS0ECAqJoU,18.23.05,【高橋洋一】 飯田浩司のOK! Cozy up! 2018年5月23日,木下康司,25,2018-05-22T23:38:57.000Z,16663,138,11,7
Zvr2GefWxtg,18.16.03,柴犬小春　鼻の土もお構いなし！散歩大好き犬のアジリティ(機敏さ)！Shibainu Agility,Kohachannel,15,2018-03-15T12:53:30.000Z,16937,442,15,202
zvQ8goTHuao,18.31.03,【2018年大阪杯予想】的中のポイントは“チャンピオン決定戦・大阪杯を使う意味”,netkeibaチャンネル,17,2018-03-30T10:45:00.000Z,35183,87,45,12
zVp5oxqvOzw,18.07.03,【ミナミの帝王・竹内力】取り立てシーン⑧(システム金融相手に完全勝利),管理室モン吉TV,24,2018-03-06T22:05:39.000Z,4070,18,3,3
zVp5oxqvOzw,18.07.03,【ミナミの帝王・竹内力】取り立てシーン⑧(システム金融相手に完全勝利),管理室モン吉TV,24,2018-03-06T22:05:39.000Z,4070,18,3,3
ZvnXPB0-3NM,18.22.02,水原三星ブルーウイングス vs 鹿島アントラーズ (1-2) 2018年02月21日(水),Kashima Antlers,17,2018-02-21T15:30:01.000Z,5611,55,2,0
ZvnXPB0-3NM,18.22.02,水原三星ブルーウイングス vs 鹿島アントラーズ (1-2) 2018年02月21日(水),Kashima Antlers,17,2018-02-21T15:30:01.000Z,5611,55,2,0
zVJqVzikMCY,18.26.02,ルトの朝の起こし方がエゲツない件。。。,TOMIKKU NET 2nd CH,15,2018-02-25T10:00:04.000Z,100284,2251,52,213
zViRf5QvdKI,18.13.05,基地外ドライバー。危険運転。,kohaku_plus,22,2018-05-08T11:08:36.000Z,7846,12,4,12
ZVCxuiErSsI,18.29.04,中日ドラゴンズ　藤嶋健人 1軍初登板１回無失点デビュー！！ 4回戦 vs DeNA【プロ野球2018】,スピリッツドアラチャンネル,17,2018-04-28T13:41:44.000Z,197807,970,62,553
ZVBhF6qByW0,18.26.03,【デブ】体重140kg男の1日摂取カロリーvol.6,ブチかまし,24,2018-03-25T11:00:02.000Z,89406,1470,198,600
ZVBhF6qByW0,18.26.03,【デブ】体重140kg男の1日摂取カロリーvol.6,ブチかまし,24,2018-03-25T11:00:02.000Z,89406,1470,198,600
zVb7A5de77w,18.18.04,映画『パンク侍、斬られて候』６月３０日公開 特報,東映映画チャンネル,1,2018-04-17T21:00:07.000Z,12172,92,6,4
zUzBfBqbSmc,18.01.06,The 1975 - Give Yourself A Try,The 1975,10,2018-05-31T22:57:07.000Z,307558,46529,404,4888
zUzBfBqbSmc,18.01.06,The 1975 - Give Yourself A Try,The 1975,10,2018-05-31T22:57:07.000Z,307558,46529,404,4888
zUYLhik-hAs,18.19.04,バイキング 2018年04月18日 18 04 18 FULL,VS嵐 2018,1,2018-04-18T05:24:40.000Z,11767,20,33,16
zUwaQsI-V6k,18.13.02,Sporda Saygı ve Fair Play'in En Güzel Anları • Part 2,Spor Delisi HD,17,2018-02-11T18:30:04.000Z,2132748,25305,1281,1084
zusvGH0V-8Y,18.17.02,【SP1位】羽生結弦のスゴ過ぎる演技【村上佳菜子解説】,velvet upground,17,2018-02-16T08:41:06.000Z,64414,131,18,39
zusvGH0V-8Y,18.17.02,【SP1位】羽生結弦のスゴ過ぎる演技【村上佳菜子解説】,velvet upground,17,2018-02-16T08:41:06.000Z,64414,131,18,39
zur0svi1vyU,18.31.03,中華といえばこの料理！超絶うまいぜ！！,プリッ2,24,2018-03-30T14:00:06.000Z,11650,302,15,68
ZUQ4fDYEvlI,18.17.04,△日報公開でやっぱり見つかった戦闘の記録！シリアの化学兵器使用問題でホワイトヘルメットの捏造に英国が関与判明！セクハラ事務官を辞めさせられない事情！日中外相会談で日本も一帯一路に参加へ！…4/17(火,TweetTV JP,25,2018-04-17T01:55:16.000Z,4089,67,34,6
zUfJRWhtoog,18.02.05,【永久保存版】バンジージャンプで相馬のリアクションがこちらwwwww,へきトラハウス,22,2018-05-01T14:51:33.000Z,160872,3950,93,491
zUfJRWhtoog,18.02.05,【永久保存版】バンジージャンプで相馬のリアクションがこちらwwwww,へきトラハウス,22,2018-05-01T14:51:33.000Z,160872,3950,93,491
zUE0FCMTQD4,18.23.04,NHK集金人が不審な行動をとったので110番通報をしました 第111弾,孝志立花,25,2018-04-23T00:58:03.000Z,4522,161,15,35
Zudw_7x6zn4,18.27.05,二度と出ない!?給食に出てた究極の一品を簡単に作る！,釣りよか飯,22,2018-05-26T10:00:05.000Z,95299,1344,93,380
Zudw_7x6zn4,18.27.05,二度と出ない!?給食に出てた究極の一品を簡単に作る！,釣りよか飯,22,2018-05-26T10:00:05.000Z,95299,1344,93,380
zUax-vLGv5Y,18.01.04,V6 / 「LIVE TOUR 2017 The ONES」LIVE MOVIE,avex,10,2018-03-31T15:00:06.000Z,30264,0,0,0
zuaXhno2YVM,18.29.05,【ROOM】お手頃で可愛いアクセブランド見つけた！♡【紹介】,佐藤 優里亜,26,2018-05-28T09:30:01.000Z,24792,590,39,105
zTtDarCEURw,18.02.06,モー娘。’18・石田亜佑美、座長抜てきに覚悟「私の本気を見せたい」　演劇女子部『ファラオの墓～蛇王・スネフェル』公開ゲネプロ,oricon,24,2018-06-01T01:00:02.000Z,27239,498,10,86
zTsWtrMMyjg,18.17.04,日村が認定するかずみん (のぎどこ 未公開),ngz kyz,22,2018-04-01T09:08:01.000Z,6215,47,2,0
ZTR-fdodILA,18.10.05,江原啓之 おと語り ニセ霊能者を一発で見抜くたった一つの方法に一同驚愕！ 【スピリチュアル開運チャンネル 江原啓之 美輪明宏 オーラの授業】,スピリチュアル開運チャンネル 江原啓之 美輪明宏オーラの授業,22,2018-05-09T05:00:00.000Z,35822,160,34,26
ZTp0yEjXCro,18.04.03,"⚽토트넘 vs 허더즈필드 : 17-18 프리미어리그 - 손흥민 멀티골, 최상의 컨디션! 주전을 증명해낸 경기 | HD",J8 SPORTS,17,2018-03-03T19:39:15.000Z,120854,367,21,315
zTmT6dikKc8,18.29.04,【東方】幻想万華鏡　第11話・永夜異変の章（後編②）予告編【二次創作アニメ】,満福神社公式 manpukujinja,1,2018-04-28T08:04:58.000Z,75956,1973,16,582
zTjT73nXesI,18.24.05,カメレオンにエサやり！,釣りよかHOUSE,24,2018-05-23T09:16:46.000Z,67874,1052,40,123
zTjT73nXesI,18.24.05,カメレオンにエサやり！,釣りよかHOUSE,24,2018-05-23T09:16:46.000Z,67874,1052,40,123
zThzeZcSz5Y,18.17.04,統計学のパラドックス MUTube（ムー チューブ） 2018年5月号 #5,MUGENJU CHANNEL,24,2018-04-16T04:30:00.000Z,6096,38,5,6
ZTH24m5FGpA,18.10.02,霊媒師にお願いしてンダホのおじいちゃんを呼んでみた！？,Fischer's-フィッシャーズ-,24,2018-02-09T10:00:03.000Z,1062516,29634,1124,7435
ZTH24m5FGpA,18.10.02,霊媒師にお願いしてンダホのおじいちゃんを呼んでみた！？,Fischer's-フィッシャーズ-,24,2018-02-09T10:00:03.000Z,1062516,29634,1124,7435
ZTgL4RDfcx0,18.05.04,高級松坂牛であえてあの料理を作る！？,釣りよか飯,22,2018-04-04T10:00:07.000Z,121374,1111,234,363
ZT-gcKzuB2A,18.02.04,広島カープに3連敗するもルーキー鈴木博志投手の快投に元気を取り戻す中日ファン【20180401中日ドラゴンズ広島カープ戦】,鈴本一発,17,2018-04-01T08:35:18.000Z,7820,103,9,208
zTDlw9ar_zg,18.17.02,和風総本家 2018年2月15日 【スペシャル 2018世界が注目するニッポン】,Sara Cutler,19,2018-02-16T03:43:09.000Z,26913,73,28,7
ZSznEbYG_rM,18.24.02,BTS【防弾少年団】とにかく騒がしいBTSの長男ジン,防弾少年団 BTS,22,2018-02-23T04:02:31.000Z,15018,643,46,55
ZSzBl3trVpc,18.12.03,【HUGっと！プリキュア】パップルさん登場！,zero channel,1,2018-03-11T05:10:01.000Z,18271,65,6,33
ZSzBl3trVpc,18.12.03,【HUGっと！プリキュア】パップルさん登場！,zero channel,1,2018-03-11T05:10:01.000Z,18271,65,6,33
ZSz6FwISNas,18.14.02,斉木くんって潰れた銀杏みたいな体臭だし【斉木楠雄のψ難 2期 アニメ 5話】Saiki Kusuo no Ψ-nan 2 - 05,アニメニュース,1,2018-02-13T18:17:14.000Z,7994,66,1,2
Zswvj6jCS6k,18.06.05,嵐ニノ、熱愛スクープまとめ,気になるおもしろ情報,22,2018-05-05T08:58:59.000Z,5113,2,6,0
ZSuGdNmvdoE,18.05.03,🔴【MHWカメラ】メイドさんがモンハンパンケーキアート作ってみたら･･･？！ギルカ配布も！【5万人記念初見歓迎LIVE#】🎀 ˚｡◌,まこと。,24,2018-03-05T00:32:55.000Z,91678,1885,152,40
Zst6sWPmvqs,18.26.02,欅って、書けない？【欅坂46黒歴史審議会！】 2018年2月25日,ぺーりさ,20,2018-02-25T16:38:12.000Z,182769,1065,108,695
Zst6sWPmvqs,18.27.02,欅って、書けない？【欅坂46黒歴史審議会！】 2018年2月25日,ぺーりさ,20,2018-02-25T16:38:12.000Z,358643,1689,171,1027
